Ticker,DTW_LSTM,DTW_ARIMA,DTW_Random
TECHM.NS,1.175652013605847,1.7273085121487617,1.1252923274108173
M&M.NS,1.8121601890866212,5.658448435954598,2.255180004442922
WIPRO.NS,0.9764376862227094,3.078354661061755,1.015740432531634
SBIN.NS,1.116764787580251,4.1763277200954425,2.159024158595696
BAJFINANCE.NS,1.7623941295545462,3.0138188660581124,1.0039308566763248
INFY.NS,1.855697032241617,0.9596199551007701,1.918383086031404
KOTAKBANK.NS,1.6060631917432788,5.666658077018131,2.4666367261806226
TRENT.NS,3.6635763438201954,0.8783487692018223,1.5412966183932557
BAJAJFINSV.NS,1.472618984627769,3.7747458835861707,1.5588090144027549
SHRIRAMFIN.NS,3.379125565667751,0.2886648089104883,2.4041794236972893
ADANIPORTS.NS,3.366989936277918,0.8769360120707206,2.4278278016563775
TATAMOTORS.NS,2.006942636021931,0.4890530313725126,1.1881274455220163
AXISBANK.NS,1.1194948040607593,3.1169325760954636,1.1067641950068712
COALINDIA.NS,2.5467754333603354,0.8685765750759964,1.0670904559764636
HCLTECH.NS,1.7982505043005175,1.0894053916267037,1.1663532264619043
BRITANNIA.NS,0.9816094125536583,5.055667381315788,1.245485882330926
ICICIBANK.NS,1.0080212240474609,1.7729548121135692,1.1016900000967065
LT.NS,1.6509256195737199,1.0051841550259253,1.5478054843857958
CIPLA.NS,3.0548684233455536,0.9206033954221402,1.5220290414179907
NTPC.NS,1.5642861619772686,1.38572457163514,0.7716094632777291
BHARTIARTL.NS,3.4572129104180136,0.2931811873099867,2.1160152642165615
NESTLEIND.NS,1.2174631891229872,5.510848025023813,2.2163678577702823
TATACONSUM.NS,5.330072047225373,0.7831679131625079,2.3183918956402367
HEROMOTOCO.NS,2.282250806563585,0.64363229640847,1.586585667549408
APOLLOHOSP.NS,3.1610601539628225,0.2752575122387023,1.737890232967578
BEL.NS,2.2882945097895737,1.133393249762829,1.0270353803194827
HDFCBANK.NS,1.8692721228252895,4.964720187948462,1.7863735786429442
HINDALCO.NS,1.1117717493577297,4.65659642270172,1.9180615369913294
TCS.NS,0.7765068266796462,0.8689135592691005,1.1229993602544113
SBILIFE.NS,0.8970768766700511,3.3922703003755514,0.9613697682153907
POWERGRID.NS,1.713894438237693,3.9125125234133007,1.3244381527490028
ULTRACEMCO.NS,0.9746137045253062,4.617021950382627,1.9085899258323031
ADANIENT.NS,1.867449150806493,1.4656097088865119,1.3506013344394197
HDFCLIFE.NS,2.8282426899381323,4.936802461819443,1.8116313771903445
GRASIM.NS,0.6461857705100483,3.419779500238005,1.5077313073590448
ITC.NS,1.4779150198175388,3.239287363058825,1.216632695946239
DRREDDY.NS,0.8987263977913112,2.4170966926391846,1.186369005143767
RELIANCE.NS,3.216040349355017,0.7271284021549188,1.8533110583803458
ONGC.NS,2.662401575916573,0.4061320360698312,2.7321927063736466
JSWSTEEL.NS,1.178335887789405,5.4133053382998675,2.4225115769267025
EICHERMOT.NS,1.4515248487257413,5.45027612358422,1.8533199652643775
TITAN.NS,3.3938105437337356,0.9744061960644199,1.4670416118666512
SUNPHARMA.NS,3.0159713290912347,0.4215202588113619,1.6575468229854329
INDUSINDBK.NS,1.0130307059310693,1.1750498913534875,1.6371785265017524
BPCL.NS,1.2981453118045398,0.42970276392761864,1.6992875936234833
MARUTI.NS,2.360732174103204,5.270555807759058,1.9147350379274757
TATASTEEL.NS,1.5689153063871322,4.713409279410808,2.2519137257820434
BAJAJ-AUTO.NS,2.669117130455551,0.4915832976887147,2.0984885966307223
ASIANPAINT.NS,1.8463563192987227,4.890396215861556,1.670483205958971
HINDUNILVR.NS,0.8403108490988034,4.52084473792152,1.6722673486957718
