Ticker,MDA_LSTM,MDA_ARIMA,CCC_LSTM,CCC_ARIMA,SPA_LSTM,SPA_ARIMA,HR_LSTM,HR_ARIMA,TPC_LSTM,TPC_ARIMA,Fréchet_LSTM,Fréchet_ARIMA,SBD_LSTM,SBD_ARIMA
TECHM.NS,0.5263157894736842,0.631578947368421,0.6543202845747483,0.6924230811011911,1.0,1.0,0.5263157894736842,0.631578947368421,2,0,109.87795469313338,123.1378320424345,0.34567971542525155,0.3075769188988089
M&M.NS,0.5263157894736842,0.42105263157894735,0.18426557243008437,-0.5806357481084898,1.0,1.0,0.5263157894736842,0.42105263157894735,1,2,64.05472441406255,136.47287028983905,0.8157344275699157,1.5806357481084898
WIPRO.NS,0.5263157894736842,0.3684210526315789,0.4676694245296408,0.40277754365691876,1.0,1.0,0.5263157894736842,0.3684210526315789,1,12,65.6771956408466,25.255062726291843,0.5323305754703592,0.5972224563430812
SBIN.NS,0.6842105263157895,0.5789473684210527,-0.1075187192527286,-0.6547914710068206,1.0,1.0,0.6842105263157895,0.5789473684210527,1,8,50.62714098706799,38.54481279321637,1.1075187192527287,1.6547914710068206
BAJFINANCE.NS,0.47368421052631576,0.3684210526315789,-0.5339990343380956,-0.6507687976818088,1.0,1.0,0.47368421052631576,0.3684210526315789,1,0,469.62072541999277,589.2409963126356,1.5339990343380956,1.650768797681809
INFY.NS,0.5789473684210527,0.42105263157894735,0.40555304941388304,0.8443343063939877,1.0,1.0,0.5789473684210527,0.42105263157894735,1,2,161.6400664441254,119.61312299263676,0.5944469505861167,0.15566569360601212
KOTAKBANK.NS,0.5789473684210527,0.5789473684210527,-0.04411622693493818,-0.7416486005333119,1.0,1.0,0.5789473684210527,0.5789473684210527,1,8,56.34172441406281,141.21794046506687,1.0441162269349382,1.741648600533312
TRENT.NS,0.5789473684210527,0.5789473684210527,0.0060059837049138975,0.7243267252280954,1.0,1.0,0.5789473684210527,0.5789473684210527,1,0,495.0079039380465,139.39483332437572,0.9939940162950862,0.2756732747719044
BAJAJFINSV.NS,0.42105263157894735,0.5263157894736842,-0.5853092189724344,-0.7690134289811353,1.0,1.0,0.42105263157894735,0.5263157894736842,2,7,94.08656653449532,111.49715616903268,1.5853092189724343,1.7690134289811354
SHRIRAMFIN.NS,0.47368421052631576,0.631578947368421,0.3433957673169482,0.9330217970553708,1.0,1.0,0.47368421052631576,0.631578947368421,1,0,392.475351171875,387.2199012452402,0.6566042326830518,0.06697820294462908
ADANIPORTS.NS,0.15789473684210525,0.5263157894736842,-0.503101219742074,0.3634043807812493,1.0,1.0,0.15789473684210525,0.5263157894736842,1,11,325.95004914580124,180.80941281051216,1.503101219742074,0.6365956192187507
TATAMOTORS.NS,0.5789473684210527,0.6842105263157895,0.34345065615085835,0.8054326282777333,1.0,1.0,0.5789473684210527,0.6842105263157895,2,2,142.1511755859375,59.32633472958014,0.6565493438491415,0.1945673717222668
AXISBANK.NS,0.42105263157894735,0.3684210526315789,-0.7908157997773846,-0.6470479543604857,1.0,1.0,0.42105263157894735,0.3684210526315789,1,0,64.43602441406256,62.53681889724736,1.7908157997773846,1.647047954360486
COALINDIA.NS,0.47368421052631576,0.42105263157894735,0.3458865109940568,0.31971778462090666,1.0,1.0,0.47368421052631576,0.42105263157894735,1,1,60.53334826644386,34.34296789166361,0.6541134890059431,0.6802822153790934
HCLTECH.NS,0.5263157894736842,0.5789473684210527,0.1902639085653842,0.821118505670768,1.0,1.0,0.5263157894736842,0.5789473684210527,1,1,173.44633455166576,105.52761257980801,0.8097360914346159,0.17888149432923195
BRITANNIA.NS,0.5263157894736842,0.3157894736842105,0.13467139830798833,-0.7547092977017155,1.0,1.0,0.5263157894736842,0.3157894736842105,1,0,324.6520659763663,327.7505845803119,0.8653286016920116,1.7547092977017154
ICICIBANK.NS,0.631578947368421,0.631578947368421,0.3668167880533256,0.6412568792680632,1.0,1.0,0.631578947368421,0.631578947368421,1,0,54.382289122930466,22.42841687570113,0.6331832119466744,0.3587431207319366
LT.NS,0.5263157894736842,0.5789473684210527,0.2892817206283125,0.846477673341142,1.0,1.0,0.5263157894736842,0.5789473684210527,1,0,415.47942336035504,147.5124896267734,0.7107182793716875,0.15352232665885812
CIPLA.NS,0.3684210526315789,0.47368421052631576,-0.624809463833549,0.7098823970391563,1.0,1.0,0.3684210526315789,0.47368421052631576,2,0,184.44545793475032,157.34815512483934,1.624809463833549,0.29011760296084366
NTPC.NS,0.42105263157894735,0.47368421052631576,-0.28909813401920814,0.06536818267421554,1.0,1.0,0.42105263157894735,0.47368421052631576,1,0,55.03977144571437,15.75157104962511,1.2890981340192083,0.9346318173257845
BHARTIARTL.NS,0.5789473684210527,0.631578947368421,0.5937121174562107,0.9497970620342873,1.0,1.0,0.5789473684210527,0.631578947368421,2,1,209.8858103792058,148.425438119053,0.40628788254378934,0.050202937965712624
NESTLEIND.NS,0.631578947368421,0.3157894736842105,0.12010466999317415,-0.9371449786462065,1.0,1.0,0.631578947368421,0.3157894736842105,1,1,213.15869023437517,190.38561893516896,0.8798953300068258,1.9371449786462063
TATACONSUM.NS,0.42105263157894735,0.5263157894736842,-0.26680394847674244,0.7355500901450864,1.0,1.0,0.42105263157894735,0.5263157894736842,1,0,183.97225874983351,62.37911675607846,1.2668039484767426,0.26444990985491335
HEROMOTOCO.NS,0.6842105263157895,0.6842105263157895,0.7572093149801542,0.8926567262195835,1.0,1.0,0.6842105263157895,0.6842105263157895,1,2,706.4153823729752,440.4661655821017,0.2427906850198458,0.10734327378041653
