Date,Predicted
2024-01-01,3678.808819165075
2024-01-02,3680.079775112769
2024-01-03,3681.9889614534573
2024-01-04,3684.066157883301
2024-01-05,3686.2265831651953
2024-01-08,3688.423373906863
2024-01-09,3690.6363763406034
2024-01-10,3692.856581705906
2024-01-11,3695.07998915217
2024-01-12,3697.304819959549
2024-01-15,3699.530283476742
2024-01-16,3701.7560282441955
2024-01-17,3703.9818980322207
2024-01-18,3706.2078233940333
2024-01-19,3708.433773459348
2024-01-23,3710.6597345057926
2024-01-24,3712.885700433538
2024-01-25,3715.1116685311054
2024-01-29,3717.3376375931957
2024-01-30,3719.5636070840333
