Date,Predicted
2024-01-01,7325.601533191532
2024-01-02,7328.748308173885
2024-01-03,7341.127117961185
2024-01-04,7343.232295330727
2024-01-05,7351.006266450856
2024-01-08,7351.958921078766
2024-01-09,7357.2504036129085
2024-01-10,7361.1600071899975
2024-01-11,7364.549842432164
2024-01-12,7368.78758186199
2024-01-15,7372.187164077474
2024-01-16,7376.264376973219
2024-01-17,7379.917847181431
2024-01-18,7383.7206688113565
2024-01-19,7387.540487113261
2024-01-23,7391.278264210158
2024-01-24,7395.105301656724
2024-01-25,7398.860775043438
2024-01-29,7402.659593524748
2024-01-30,7406.4411916251365
