Date,Predicted
2024-01-01,3792.632049717293
2024-01-02,3791.978453287968
2024-01-03,3791.42399932885
2024-01-04,3790.9640813068704
2024-01-05,3790.594323891748
2024-01-08,3790.31055428459
2024-01-09,3790.1087928113784
2024-01-10,3789.9852439847327
2024-01-11,3789.9362879794144
2024-01-12,3789.958472502359
2024-01-15,3790.048505038981
2024-01-16,3790.203245458328
2024-01-17,3790.419698960489
2024-01-18,3790.695009350404
2024-01-19,3791.0264526229776
2024-01-23,3791.411430845085
2024-01-24,3791.8474663207267
2024-01-25,3792.3321960262356
2024-01-29,3792.863366303028
2024-01-30,3793.438827795989
