Date,Predicted
2024-01-01,5342.642567441361
2024-01-02,5346.699580439105
2024-01-03,5349.994015394807
2024-01-04,5352.794174841229
2024-01-05,5355.265244029997
2024-01-08,5357.517377632542
2024-01-09,5359.623855447379
2024-01-10,5361.633429901186
2024-01-11,5363.578535502005
2024-01-12,5365.48075060905
2024-01-15,5367.354431092457
2024-01-16,5369.209127771426
2024-01-17,5371.051194712027
2024-01-18,5372.8848592119175
2024-01-19,5374.7129336506505
2024-01-23,5376.537289076679
2024-01-24,5378.359170280136
2024-01-25,5380.179405407652
2024-01-29,5381.9985454170355
2024-01-30,5383.8169568550975
