Date,Predicted
2024-01-01,2054.535161511219
2024-01-02,2054.6292029692495
2024-01-03,2055.2982704808906
2024-01-04,2056.0569871595635
2024-01-05,2056.8346533249596
2024-01-08,2057.6279707584727
2024-01-09,2058.3842608305536
2024-01-10,2059.064862953497
2024-01-11,2059.65519134121
2024-01-12,2060.1614650435445
2024-01-15,2060.6075400791765
2024-01-16,2061.0280851150587
2024-01-17,2061.4597572439643
2024-01-18,2061.9329211240656
2024-01-19,2062.4656374525052
2024-01-23,2063.0609795577952
2024-01-24,2063.707926524729
2024-01-25,2064.3852629451967
2024-01-29,2065.067312122172
2024-01-30,2065.730049926635
