Date,Predicted
2024-01-01,1542.123736300865
2024-01-02,1542.3714346541647
2024-01-03,1545.3769662590255
2024-01-04,1543.6478560942344
2024-01-05,1545.6117462742122
2024-01-08,1545.6666857571727
2024-01-09,1546.6691542512435
2024-01-10,1547.3848200480832
2024-01-11,1547.8785247649917
2024-01-12,1548.8969788598135
2024-01-15,1549.2960599252256
2024-01-16,1550.2742711410338
2024-01-17,1550.7843979375891
2024-01-18,1551.6240292411708
2024-01-19,1552.2699092452178
2024-01-23,1552.9963045688273
2024-01-24,1553.7240951914098
2024-01-25,1554.4003148538377
2024-01-29,1555.1511592921756
2024-01-30,1555.8245286298022
