Date,Predicted
2024-01-01,2856.743004985372
2024-01-02,2856.025102050411
2024-01-03,2858.949981080835
2024-01-04,2860.9854880735375
2024-01-05,2863.1902496687226
2024-01-08,2865.368801774954
2024-01-09,2867.5504476187334
2024-01-10,2869.73191893635
2024-01-11,2871.9133506771964
2024-01-12,2874.0948002501354
2024-01-15,2876.276245405607
2024-01-16,2878.457691409757
2024-01-17,2880.639137281201
2024-01-18,2882.8205831685636
2024-01-19,2885.0020290549623
2024-01-23,2887.1834749411782
2024-01-24,2889.3649208274815
2024-01-25,2891.546366713763
2024-01-29,2893.7278126000483
2024-01-30,2895.909258486333
