Date,Predicted
2024-01-01,3528.46713132279
2024-01-02,3530.0923299198084
2024-01-03,3531.779207828056
2024-01-04,3533.4685371975984
2024-01-05,3535.1574307552282
2024-01-08,3536.8463265936084
2024-01-09,3538.5352247907554
2024-01-10,3540.2241228884104
2024-01-11,3541.9130209765026
2024-01-12,3543.601919065504
2024-01-15,3545.2908171545255
2024-01-16,3546.9797152435412
2024-01-17,3548.668613332557
2024-01-18,3550.357511421573
2024-01-19,3552.0464095105885
2024-01-23,3553.7353075996043
2024-01-24,3555.42420568862
2024-01-25,3557.113103777636
2024-01-29,3558.8020018666516
2024-01-30,3560.4908999556674
