Date,Predicted
2024-01-01,4134.5600558596225
2024-01-02,4139.497144049451
2024-01-03,4138.647846479662
2024-01-04,4140.072024640605
2024-01-05,4140.680727286211
2024-01-08,4141.573771177213
2024-01-09,4142.368608903262
2024-01-10,4143.197254234903
2024-01-11,4144.0142745015655
2024-01-12,4144.835290569768
2024-01-15,4145.654933379622
2024-01-16,4146.475048121639
2024-01-17,4147.295000682807
2024-01-18,4148.115008977563
2024-01-19,4148.934998119463
2024-01-23,4149.754993843239
2024-01-24,4150.574987305155
2024-01-25,4151.394981544359
2024-01-29,4152.214975516448
2024-01-30,4153.034969580332
