Date,Predicted
2024-01-01,1709.526262281508
2024-01-02,1709.7176561613378
2024-01-03,1710.168984567053
2024-01-04,1710.6922975471427
2024-01-05,1711.2141305904713
2024-01-08,1711.730151563563
2024-01-09,1712.2448181694442
2024-01-10,1712.759582241787
2024-01-11,1713.2744732295907
2024-01-12,1713.789388869742
2024-01-15,1714.30430113983
2024-01-16,1714.819210697181
2024-01-17,1715.3341198248256
2024-01-18,1715.8490290490288
2024-01-19,1716.3639383300563
2024-01-23,1716.8788476181232
2024-01-24,1717.3937569036727
2024-01-25,1717.9086661880553
2024-01-29,1718.4235754723338
2024-01-30,1718.9384847566741
