Date,Predicted
2024-01-01,3403.9098230354825
2024-01-02,3405.717968799533
2024-01-03,3407.3046607193114
2024-01-04,3408.9764897872915
2024-01-05,3410.612065814539
2024-01-08,3412.262776915485
2024-01-09,3413.9071459579636
2024-01-10,3415.5541706679587
2024-01-11,3417.2000832007566
2024-01-12,3418.846461495053
2024-01-15,3420.4926447352
2024-01-16,3422.13890966112
2024-01-17,3423.7851403782493
2024-01-18,3425.4313854215125
2024-01-19,3427.0776244652034
2024-01-23,3428.723866021426
2024-01-24,3430.3701065254377
2024-01-25,3432.0163474701
2024-01-29,3433.6625882302237
2024-01-30,3435.3088290676296
