Date,Predicted
2024-01-01,1904.8223129331245
2024-01-02,1906.501137764774
2024-01-03,1910.2679086546445
2024-01-04,1911.4667516816125
2024-01-05,1909.0370262605118
2024-01-08,1907.943153665733
2024-01-09,1910.7941332389314
2024-01-10,1913.6554075526008
2024-01-11,1912.763988403694
2024-01-12,1910.6307422290006
2024-01-15,1911.6615302330824
2024-01-16,1914.9142585100524
2024-01-17,1915.8852854659372
2024-01-18,1913.991281000522
2024-01-19,1913.3277225727231
2024-01-23,1915.7958844262664
2024-01-24,1918.1219762309722
2024-01-25,1917.4201711118137
2024-01-29,1915.858490455624
2024-01-30,1916.8965840706169
