Date,Predicted
2024-01-01,472.1545147756286
2024-01-02,473.5312546608894
2024-01-03,473.87058800838173
2024-01-04,474.99593786505824
2024-01-05,475.1820692567208
2024-01-08,476.13918417825374
2024-01-09,476.2053911502685
2024-01-10,477.0404960466817
2024-01-11,477.02914254750044
2024-01-12,477.77683886811263
2024-01-15,477.7154019355074
2024-01-16,478.3992912517879
2024-01-17,478.30673913646626
2024-01-18,478.9432522916189
2024-01-19,478.8325554992754
2024-01-23,479.43312402739497
2024-01-24,479.3131277819934
2024-01-25,479.88573714806427
2024-01-29,479.7624439866339
2024-01-30,480.31269911753583
