Date,Predicted
2024-01-01,5798.381788105442
2024-01-02,5802.9758502341365
2024-01-03,5803.875429567841
2024-01-04,5807.870766976503
2024-01-05,5809.272983681409
2024-01-08,5812.847289307856
2024-01-09,5814.602177031229
2024-01-10,5817.88107303668
2024-01-11,5819.883406225025
2024-01-12,5822.955033225735
2024-01-15,5825.130982205873
2024-01-16,5828.0571825269035
2024-01-17,5830.354945997209
2024-01-18,5833.179110226598
2024-01-19,5835.562342707883
2024-01-23,5838.314915094423
2024-01-24,5840.758115415557
2024-01-25,5843.460456635066
2024-01-29,5845.945732344402
2024-01-30,5848.6128297422565
