Date,Predicted
2024-01-01,996.7559972173942
2024-01-02,997.6160611506255
2024-01-03,998.2445417873944
2024-01-04,998.7746532842425
2024-01-05,999.2872620059846
2024-01-08,999.7993721980312
2024-01-09,1000.3121408856204
2024-01-10,1000.8251204883276
2024-01-11,1001.3381302082911
2024-01-12,1001.8511388802315
2024-01-15,1002.3641458746729
2024-01-16,1002.8771524378831
2024-01-17,1003.3901589546697
2024-01-18,1003.9031654779277
2024-01-19,1004.4161720051585
2024-01-23,1004.9291785332281
2024-01-24,1005.4421850613555
2024-01-25,1005.955191589461
2024-01-29,1006.4681981175577
2024-01-30,1006.9812046456527
