Date,Predicted
2024-01-01,1432.6865232740129
2024-01-02,1433.5605491911026
2024-01-03,1434.249284597364
2024-01-04,1434.9146220445807
2024-01-05,1435.5902229930537
2024-01-08,1436.266181237293
2024-01-09,1436.9416376417205
2024-01-10,1437.617113099936
2024-01-11,1438.29261050197
2024-01-12,1438.9681054610187
2024-01-15,1439.6435995748654
2024-01-16,1440.3190938621494
2024-01-17,1440.9945881763529
2024-01-18,1441.670082480593
2024-01-19,1442.345576784291
2024-01-23,1443.0210710884903
2024-01-24,1443.696565392679
2024-01-25,1444.3720596968453
2024-01-29,1445.0475540010136
2024-01-30,1445.7230483051828
