Date,Predicted
2024-01-01,1031.5163270826233
2024-01-02,1031.463946880385
2024-01-03,1031.7210033774763
2024-01-04,1032.1407471409846
2024-01-05,1032.6462233878865
2024-01-08,1033.1968820626082
2024-01-09,1033.7713526760156
2024-01-10,1034.3583726032693
2024-01-11,1034.9520062414215
2024-01-12,1035.5491254224796
2024-01-15,1036.1480815464486
2024-01-16,1036.7480057719008
2024-01-17,1037.3484402039994
2024-01-18,1037.9491435240468
2024-01-19,1038.5499885528106
2024-01-23,1039.1509082645805
2024-01-24,1039.7518673356187
2024-01-25,1040.3528471496893
2024-01-29,1040.9538378957056
2024-01-30,1041.5548344030512
