Date,Predicted
2024-01-01,311.7686166823646
2024-01-02,312.1699785709793
2024-01-03,312.5465711324359
2024-01-04,312.8931357263363
2024-01-05,313.214092666699
2024-01-08,313.51280869980883
2024-01-09,313.7922293041518
2024-01-10,314.0549087599547
2024-01-11,314.3030632763214
2024-01-12,314.5386156754679
2024-01-15,314.76323423514214
2024-01-16,314.9783663852219
2024-01-17,315.18526794373145
2024-01-18,315.38502848256223
2024-01-19,315.5785933352606
2024-01-23,315.7667826914084
2024-01-24,315.9503081632748
2024-01-25,316.12978715936254
2024-01-29,316.3057553551731
2024-01-30,316.4786775130831
