Date,Predicted
2024-01-01,2652.9099252918904
2024-01-02,2652.770078773139
2024-01-03,2655.0503215256667
2024-01-04,2656.157957651124
2024-01-05,2657.3512102448085
2024-01-08,2658.637643557506
2024-01-09,2659.889524909104
2024-01-10,2661.1417454669286
2024-01-11,2662.397321050219
2024-01-12,2663.651926479285
2024-01-15,2664.906467681812
2024-01-16,2666.161123668813
2024-01-17,2667.4157540353012
2024-01-18,2668.670380091563
2024-01-19,2669.9250099086476
2024-01-23,2671.179639106534
2024-01-24,2672.4342681017374
2024-01-25,2673.6888972153247
2024-01-29,2674.9435263161104
2024-01-30,2676.198155408649
