Date,Predicted
2024-01-01,1272.3439591145539
2024-01-02,1274.112426747184
2024-01-03,1274.8392987226782
2024-01-04,1275.0440250618094
2024-01-05,1275.7404751051797
2024-01-08,1276.4645358732369
2024-01-09,1277.1070307064758
2024-01-10,1277.7328847643867
2024-01-11,1278.3697931226056
2024-01-12,1278.997144613548
2024-01-15,1279.612825025102
2024-01-16,1280.2209504013356
2024-01-17,1280.822349880368
2024-01-18,1281.4164643317822
2024-01-19,1282.0036455031984
2024-01-23,1282.5843899180961
2024-01-24,1283.1589965318844
2024-01-25,1283.7277230850846
2024-01-29,1284.2908559023274
2024-01-30,1284.848668968517
