Date,Predicted
2024-01-01,1468.5085620306722
2024-01-02,1468.1539450804028
2024-01-03,1469.867666027517
2024-01-04,1469.9420625116056
2024-01-05,1471.3186798474055
2024-01-08,1471.6607707826688
2024-01-09,1472.824725660767
2024-01-10,1473.3357630067212
2024-01-11,1474.3655009350668
2024-01-12,1474.98316493221
2024-01-15,1475.9281949099252
2024-01-16,1476.6131538733853
2024-01-17,1477.5047223701192
2024-01-18,1478.2321530087306
2024-01-19,1479.089980517429
2024-01-23,1479.844216180084
2024-01-24,1480.6807488377474
2024-01-25,1481.4519018767817
2024-01-29,1482.2749947774314
2024-01-30,1483.0568248307106
