Date,Predicted
2024-01-01,1598.3869892248
2024-01-02,1597.842897088149
2024-01-03,1598.0843637483902
2024-01-04,1597.9220870469699
2024-01-05,1598.024619921018
2024-01-08,1597.9615016894236
2024-01-09,1598.0028887700414
2024-01-10,1597.97844761813
2024-01-11,1597.9954834933874
2024-01-12,1597.9863868677608
2024-01-15,1597.9937551131598
2024-01-16,1597.990749627965
2024-01-17,1597.9942801380403
2024-01-18,1597.9936926279465
2024-01-19,1597.995699686787
2024-01-23,1597.996072030967
2024-01-24,1597.9974743312168
2024-01-25,1597.998227705063
2024-01-29,1597.9993899366166
2024-01-30,1598.0002945663466
