Date,Predicted
2024-01-01,6800.160080548555
2024-01-02,6803.39714140224
2024-01-03,6806.696245047128
2024-01-04,6809.9949899885505
2024-01-05,6813.293692940544
2024-01-08,6816.592396230006
2024-01-09,6819.891099547682
2024-01-10,6823.189802865064
2024-01-11,6826.488506182428
2024-01-12,6829.787209499792
2024-01-15,6833.085912817156
2024-01-16,6836.38461613452
2024-01-17,6839.683319451884
2024-01-18,6842.982022769248
2024-01-19,6846.280726086612
2024-01-23,6849.579429403976
2024-01-24,6852.87813272134
2024-01-25,6856.176836038704
2024-01-29,6859.475539356068
2024-01-30,6862.774242673432
