Date,Predicted
2024-01-01,2586.1985849026773
2024-01-02,2586.727418032347
2024-01-03,2588.245884764373
2024-01-04,2589.3953334322055
2024-01-05,2590.706775384401
2024-01-08,2591.9493171729778
2024-01-09,2593.221334531436
2024-01-10,2594.480755760591
2024-01-11,2595.745560907935
2024-01-12,2597.008064911317
2024-01-15,2598.271552454841
2024-01-16,2599.5346196204987
2024-01-17,2600.7978664611737
2024-01-18,2602.0610365063917
2024-01-19,2603.3242393749947
2024-01-23,2604.5874282144528
2024-01-24,2605.850623050151
2024-01-25,2607.1138153229776
2024-01-29,2608.377008691209
2024-01-30,2609.6402015912504
