Date,Predicted
2024-01-01,1730.8459770080462
2024-01-02,1732.1277248834522
2024-01-03,1734.3043988502677
2024-01-04,1737.4177591622758
2024-01-05,1736.328846026538
2024-01-08,1736.554638817611
2024-01-09,1738.457950278138
2024-01-10,1739.2744998826163
2024-01-11,1739.6262660830653
2024-01-12,1740.3762722255042
2024-01-15,1741.3413656270932
2024-01-16,1742.151193383285
2024-01-17,1742.822353571096
2024-01-18,1743.58401796015
2024-01-19,1744.4161363902865
2024-01-23,1745.1955456802318
2024-01-24,1745.94425146499
2024-01-25,1746.7195460812509
2024-01-29,1747.5088038213764
2024-01-30,1748.2850868284052
