Date,Predicted
2024-01-01,1085.6570754064599
2024-01-02,1087.0661136134904
2024-01-03,1087.519891426157
2024-01-04,1088.309444199778
2024-01-05,1088.980887255295
2024-01-08,1089.6938753633387
2024-01-09,1090.3922500120743
2024-01-10,1091.0957649405716
2024-01-11,1091.7974717772631
2024-01-12,1092.4998146096843
2024-01-15,1093.2019337308056
2024-01-16,1093.9041315423071
2024-01-17,1094.606301674492
2024-01-18,1095.3084815428679
2024-01-19,1096.0106579865414
2024-01-23,1096.712835634853
2024-01-24,1097.4150128594335
2024-01-25,1098.1171902330614
2024-01-29,1098.8193675542618
2024-01-30,1099.5215448939036
