Date,Predicted
2024-01-01,4145.350046689742
2024-01-02,4147.416084493778
2024-01-03,4149.006617459016
2024-01-04,4150.505485506762
2024-01-05,4151.981296734386
2024-01-08,4153.4515994047215
2024-01-09,4154.920573963118
2024-01-10,4156.389228839339
2024-01-11,4157.857806744011
2024-01-12,4159.326366116823
2024-01-15,4160.794921027816
2024-01-16,4162.263474864561
2024-01-17,4163.732028442667
2024-01-18,4165.200581958501
2024-01-19,4166.669135459342
2024-01-23,4168.137688956574
2024-01-24,4169.606242452936
2024-01-25,4171.07479594909
2024-01-29,4172.543349445193
2024-01-30,4174.011902941284
