Date,Predicted
2024-01-01,2662.413566839798
2024-01-02,2661.8872645405268
2024-01-03,2663.3367484576993
2024-01-04,2663.7773839334745
2024-01-05,2664.5403715692473
2024-01-08,2665.229569835545
2024-01-09,2665.9285861395515
2024-01-10,2666.6286867669137
2024-01-11,2667.327516994198
2024-01-12,2668.026861751051
2024-01-15,2668.7260624294167
2024-01-16,2669.4252911667577
2024-01-17,2670.124517834306
2024-01-18,2670.823743305894
2024-01-19,2671.5229695009825
2024-01-23,2672.222195447797
2024-01-24,2672.9214214555836
2024-01-25,2673.6206474538585
2024-01-29,2674.3198734518965
2024-01-30,2675.0190994507816
