Date,Predicted
2024-01-01,1260.1656469506186
2024-01-02,1260.8484291487155
2024-01-03,1261.5186996656455
2024-01-04,1262.1872535091752
2024-01-05,1262.8555900694382
2024-01-08,1263.5238994313918
2024-01-09,1264.1922053942906
2024-01-10,1264.8605109324992
2024-01-11,1265.5288164176475
2024-01-12,1266.1971218961664
2024-01-15,1266.865427373857
2024-01-16,1267.5337328514443
2024-01-17,1268.2020383290185
2024-01-18,1268.870343806591
2024-01-19,1269.5386492841635
2024-01-23,1270.206954761736
2024-01-24,1270.8752602393083
2024-01-25,1271.5435657168807
2024-01-29,1272.2118711944531
2024-01-30,1272.8801766720255
