Date,Predicted
2024-01-01,1102.5849753981258
2024-01-02,1102.705386176809
2024-01-03,1103.1452779755045
2024-01-04,1103.5033677370054
2024-01-05,1103.895780938569
2024-01-08,1104.2763125653673
2024-01-09,1104.6612468977405
2024-01-10,1105.0445901817857
2024-01-11,1105.4285136933606
2024-01-12,1105.8122263074988
2024-01-15,1106.1960156700768
2024-01-16,1106.5797771151672
2024-01-17,1106.9635487169637
2024-01-18,1107.347316623849
2024-01-19,1107.731085874936
2024-01-23,1108.1148546370089
2024-01-24,1108.4986235769832
2024-01-25,1108.8823924522376
2024-01-29,1109.2661613510368
2024-01-30,1109.6499302412706
