Date,Predicted
2024-01-01,3060.8463454696675
2024-01-02,3065.8485131201337
2024-01-03,3069.069601808954
2024-01-04,3072.2951758187005
2024-01-05,3074.2267240551237
2024-01-08,3076.132930626304
2024-01-09,3078.5118217170198
2024-01-10,3080.9060002331735
2024-01-11,3082.9759282021746
2024-01-12,3085.044322643662
2024-01-15,3087.3033812181093
2024-01-16,3089.56109542885
2024-01-17,3091.7031921778616
2024-01-18,3093.847950337392
2024-01-19,3096.0623213057725
2024-01-23,3098.274055722329
2024-01-24,3100.4438307606124
2024-01-25,3102.6158311659547
2024-01-29,3104.8131049344297
2024-01-30,3107.008655999044
