Date,Predicted
2024-01-01,2127.02880462287
2024-01-02,2128.5686508092253
2024-01-03,2129.3174145814364
2024-01-04,2130.545901881942
2024-01-05,2131.4944416846743
2024-01-08,2132.605618497314
2024-01-09,2133.6223608565683
2024-01-10,2134.6939326607926
2024-01-11,2135.7336702670186
2024-01-12,2136.79189092076
2024-01-15,2137.8393802531677
2024-01-16,2138.8931002277877
2024-01-17,2139.9432026700356
2024-01-18,2140.9954054640634
2024-01-19,2142.0463887865994
2024-01-23,2143.098080138492
2024-01-24,2144.1493604060965
2024-01-25,2145.2008793506575
2024-01-29,2146.252259718554
2024-01-30,2147.30372054454
