Date,Predicted
2024-01-01,1248.6250002727006
2024-01-02,1249.1383876850732
2024-01-03,1249.816870144901
2024-01-04,1250.4579597210407
2024-01-05,1251.0878240576583
2024-01-08,1251.707334796959
2024-01-09,1252.319164380435
2024-01-10,1252.9251327431084
2024-01-11,1253.5266462278703
2024-01-12,1254.1247718853367
2024-01-15,1254.7203213776993
2024-01-16,1255.313911886867
2024-01-17,1255.9060127362595
2024-01-18,1256.496980810903
2024-01-19,1257.087087495169
2024-01-23,1257.676539156549
2024-01-24,1258.2654927220692
2024-01-25,1258.8540675229824
2024-01-29,1259.4423543017722
2024-01-30,1260.0304220613025
