Date,Predicted
2024-01-01,10304.777257233378
2024-01-02,10307.577451093954
2024-01-03,10309.820242795857
2024-01-04,10312.122369933159
2024-01-05,10314.408632277557
2024-01-08,10316.697482171863
2024-01-09,10318.985795929055
2024-01-10,10321.274207870487
2024-01-11,10323.562600682717
2024-01-12,10325.850997106227
2024-01-15,10328.139392837038
2024-01-16,10330.42778869965
2024-01-17,10332.716184537081
2024-01-18,10335.004580379313
2024-01-19,10337.292976220628
2024-01-23,10339.581372062117
2024-01-24,10341.869767903574
2024-01-25,10344.158163745038
2024-01-29,10346.4465595865
2024-01-30,10348.734955427963
