Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,2590.25,2506.576,2586.1985849026773,2546.387292451339
2024-01-02,2611.699951171875,2499.6506,2586.727418032347,2543.1890090161733
2024-01-03,2583.300048828125,2479.8218,2588.245884764373,2534.033842382187
2024-01-04,2596.64990234375,2451.9358,2589.395333432205,2520.6655667161026
2024-01-05,2607.699951171875,2421.0388,2590.706775384401,2505.8727876922003
2024-01-08,2587.35009765625,2391.8582,2591.9493171729778,2491.903758586489
2024-01-09,2580.5,2368.1917,2593.221334531436,2480.7065172657176
2024-01-10,2650.10009765625,2352.8687,2594.480755760591,2473.6747278802954
2024-01-11,2719.800048828125,2347.1384,2595.745560907935,2471.4419804539675
2024-01-12,2741.449951171875,2351.0452,2597.008064911317,2474.0266324556587
2024-01-15,2788.25,2363.4243,2598.271552454841,2480.8479262274204
2024-01-16,2749.25,2382.4363,2599.5346196204987,2490.9854598102493
2024-01-17,2723.14990234375,2405.8948,2600.7978664611737,2503.346333230587
2024-01-18,2735.89990234375,2431.6448,2602.061036506392,2516.852918253196
2024-01-19,2734.89990234375,2457.2058,2603.3242393749947,2530.2650196874974
2024-01-23,2657.14990234375,2480.6519,2604.5874282144528,2542.6196641072265
2024-01-24,2687.75,2500.5369,2605.850623050151,2553.1937615250754
2024-01-25,2706.14990234375,2516.1152,2607.1138153229776,2561.614507661489
2024-01-29,2896.10009765625,2527.2607,2608.377008691209,2567.8188543456044
2024-01-30,2815.25,2534.409,2609.6402015912504,2572.0246007956252
