Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,790.5999755859375,708.1762,778.984924088272,743.5805620441361
2024-01-02,784.4000244140625,701.5953,781.0273427971231,741.3113213985615
2024-01-03,781.4500122070312,690.5142,780.4553053322896,735.4847526661448
2024-01-04,795.75,678.05615,783.5029938453658,730.7795719226829
2024-01-05,790.9500122070312,666.7986,784.0514171195356,725.4250085597678
2024-01-08,789.0999755859375,658.53455,786.1456967953125,722.3401233976563
2024-01-09,799.7999877929688,654.2391,786.8962359547129,720.5676679773565
2024-01-10,808.4500122070312,654.1917,788.525041620026,721.358370810013
2024-01-11,815.6500244140625,658.03455,789.4002645089955,723.7174072544977
2024-01-12,816.4500122070312,665.02594,790.7309066165981,727.878423308299
2024-01-15,812.4500122070312,674.0202,791.6295866024417,732.8248933012209
2024-01-16,818.8499755859375,683.88696,792.761576473159,738.3242682365795
2024-01-17,805.5499877929688,693.5759,793.6422465227407,743.6090732613704
2024-01-18,819.0499877929688,702.30005,794.6368699320171,748.4684599660086
2024-01-19,823.5499877929688,709.26917,795.481269141291,752.3752195706455
2024-01-23,800.4500122070312,714.11316,796.3765271740045,755.2448435870023
2024-01-24,810.9000244140625,716.92737,797.1789963709565,757.0531831854782
2024-01-25,811.8499755859375,718.0148,797.9996650178517,758.0072325089259
2024-01-29,841.0,717.7845,798.7607074449726,758.2726037224863
2024-01-30,858.8499755859375,716.6988,799.5236408563574,758.1112204281787
