Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1676.4000244140625,1615.4985,1685.3216775171036,1650.4100887585519
2024-01-02,1686.199951171875,1604.4991,1683.6544799516832,1644.0767899758416
2024-01-03,1677.6500244140625,1587.1504,1684.5787259852054,1635.8645629926027
2024-01-04,1701.949951171875,1567.5614,1687.921781000645,1627.7415905003227
2024-01-05,1709.5,1549.1786,1690.1195625176135,1619.6490812588067
2024-01-08,1696.3499755859375,1534.7329,1689.33150685841,1612.0322034292049
2024-01-09,1682.449951171875,1526.0835,1687.9242287867787,1607.0038643933894
2024-01-10,1671.8499755859375,1524.0602,1689.029685411082,1606.544942705541
2024-01-11,1669.25,1528.547,1692.1766188323716,1610.3618094161857
2024-01-12,1651.9000244140625,1538.6198,1694.0842877575185,1616.352043878759
2024-01-15,1632.4000244140625,1553.1182,1693.3169131834916,1623.2175565917457
2024-01-16,1623.5,1570.308,1692.2004208219837,1631.2542104109918
2024-01-17,1586.1500244140625,1588.3972,1693.4533904958262,1640.9252952479133
2024-01-18,1581.1500244140625,1605.792,1696.4058353403832,1651.0989176701914
2024-01-19,1600.5,1620.926,1698.059799420871,1659.4928997104355
2024-01-23,1582.5,1632.59,1697.3332600344634,1664.9616300172315
2024-01-24,1620.8499755859375,1640.1945,1696.484058617292,1668.339279308646
2024-01-25,1630.1500244140625,1643.5657,1697.8516592568792,1670.7086796284398
2024-01-29,1636.949951171875,1642.9415,1700.6132542667992,1671.7773771333996
2024-01-30,1590.550048828125,1639.0483,1702.0472049971577,1670.5477524985788
