Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1551.3499755859375,1498.1509,1542.123736300865,1520.1373181504325
2024-01-02,1534.4000244140625,1491.0304,1542.371434654165,1516.7009173270826
2024-01-03,1490.0,1475.7004,1545.3769662590255,1510.5386831295127
2024-01-04,1512.699951171875,1455.8488,1543.6478560942344,1499.7483280471172
2024-01-05,1532.550048828125,1435.1354,1545.6117462742122,1490.3735731371062
2024-01-08,1522.800048828125,1416.594,1545.666685757173,1481.1303428785864
2024-01-09,1529.300048828125,1402.6869,1546.6691542512435,1474.6780271256216
2024-01-10,1519.9000244140625,1394.9557,1547.3848200480832,1471.1702600240415
2024-01-11,1494.199951171875,1393.8837,1547.8785247649917,1470.8811123824958
2024-01-12,1612.75,1398.865,1548.8969788598135,1473.8809894299068
2024-01-15,1652.0999755859375,1408.7711,1549.2960599252256,1479.0335799626127
2024-01-16,1631.550048828125,1422.3522,1550.2742711410338,1486.313235570517
2024-01-17,1640.199951171875,1438.1069,1550.7843979375891,1494.4456489687946
2024-01-18,1642.5999755859375,1454.5322,1551.6240292411708,1503.0781146205854
2024-01-19,1659.199951171875,1470.1832,1552.2699092452178,1511.226554622609
2024-01-23,1642.1500244140625,1483.8671,1552.996304568827,1518.4317022844134
2024-01-24,1675.4000244140625,1495.0746,1553.7240951914098,1524.399347595705
2024-01-25,1669.0999755859375,1503.6179,1554.4003148538377,1529.009107426919
2024-01-29,1656.5999755859375,1509.7495,1555.1511592921756,1532.4503296460878
2024-01-30,1651.449951171875,1513.7878,1555.8245286298022,1534.8061643149013
