Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,5750.0498046875,5289.707,5701.315761784187,5495.511380892094
2024-01-02,5746.35009765625,5273.1997,5704.286069236455,5488.742884618227
2024-01-03,5768.2998046875,5244.8096,5707.845782244701,5476.32769112235
2024-01-04,5762.2001953125,5212.096,5711.452379357992,5461.774189678996
2024-01-05,5754.25,5182.123,5715.055960846716,5448.589480423358
2024-01-08,5682.0,5159.923,5718.655392006735,5439.289196003368
2024-01-09,5797.64990234375,5149.5044,5722.252571492191,5435.878485746096
2024-01-10,5800.89990234375,5151.452,5725.848658191302,5438.650329095652
2024-01-11,5869.89990234375,5164.244,5729.4442267018,5446.8441133509
2024-01-12,5795.7001953125,5185.742,5733.039550776432,5459.390775388216
2024-01-15,5896.39990234375,5213.6714,5736.634759686434,5475.153079843218
2024-01-16,5904.5498046875,5244.843,5740.229914352316,5492.536457176158
2024-01-17,5925.89990234375,5275.068,5743.825043470111,5509.446521735055
2024-01-18,5990.85009765625,5301.543,5747.420160555357,5524.481580277678
2024-01-19,6094.64990234375,5321.41,5751.015271973573,5536.212635986787
2024-01-23,6153.75,5333.234,5754.610380722764,5543.922190361382
2024-01-24,6213.35009765625,5337.376,5758.205488214911,5547.790744107456
2024-01-25,6168.85009765625,5336.0454,5761.800595115022,5548.922997557511
2024-01-29,6329.75,5332.038,5765.3957017363,5548.71685086815
2024-01-30,6309.7998046875,5327.9536,5768.990808226255,5548.472204113127
