Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,4118.5498046875,3899.0945,4134.560055859623,4016.8272779298118
2024-01-02,4088.199951171875,3761.152,4139.497144049451,3950.3245720247255
2024-01-03,3989.85009765625,3557.6057,4138.647846479662,3848.126773239831
2024-01-04,3946.949951171875,3370.956,4140.072024640605,3755.5140123203028
2024-01-05,3990.300048828125,3257.6643,4140.680727286211,3699.172513643105
2024-01-08,4009.5,3240.5374,4141.573771177213,3691.0555855886064
2024-01-09,4112.5,3307.5051,4142.368608903262,3724.936854451631
2024-01-10,4138.0498046875,3423.1738,4143.197254234903,3783.185527117452
2024-01-11,4342.2001953125,3548.746,4144.0142745015655,3846.380137250783
2024-01-12,4383.14990234375,3655.8767,4144.835290569768,3900.355995284884
2024-01-15,4372.39990234375,3730.6746,4145.654933379622,3938.1647666898107
2024-01-16,4384.64990234375,3772.479,4146.475048121639,3959.4770240608195
2024-01-17,4370.85009765625,3789.7656,4147.295000682807,3968.5303003414037
2024-01-18,4394.0,3794.0369,4148.115008977563,3971.0759544887815
2024-01-19,4399.75,3795.851,4148.934998119463,3972.3929990597317
2024-01-23,4444.2001953125,3802.4548,4149.754993843239,3976.10489692162
2024-01-24,4433.64990234375,3815.7732,4150.574987305155,3983.1740936525775
2024-01-25,4442.14990234375,3836.8562,4151.394981544359,3994.1255907721797
2024-01-29,4593.5,3862.7744,4152.214975516448,4007.4946877582242
2024-01-30,4588.35009765625,3889.7466,4153.034969580332,4021.3907847901655
