Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,3677.14990234375,3502.0208,3678.808819165075,3590.4148095825376
2024-01-02,3698.25,3480.8577,3680.079775112769,3580.4687375563844
2024-01-03,3693.050048828125,3440.9243,3681.988961453457,3561.4566307267287
2024-01-04,3719.699951171875,3393.5059,3684.066157883301,3538.7860289416503
2024-01-05,3712.550048828125,3348.3748,3686.2265831651953,3517.3006915825977
2024-01-08,3706.050048828125,3312.8804,3688.423373906863,3500.6518869534316
2024-01-09,3694.0,3291.339,3690.6363763406034,3490.9876881703017
2024-01-10,3714.449951171875,3285.2112,3692.856581705906,3489.033890852953
2024-01-11,3698.60009765625,3293.2134,3695.07998915217,3494.146694576085
2024-01-12,3726.0,3312.4814,3697.304819959549,3504.8931099797746
2024-01-15,3758.85009765625,3339.0127,3699.530283476742,3519.271491738371
2024-01-16,3820.300048828125,3368.6384,3701.756028244196,3535.1972141220976
2024-01-17,3830.050048828125,3397.9907,3703.9818980322207,3550.98629901611
2024-01-18,3734.699951171875,3424.6196,3706.207823394033,3565.4137116970164
2024-01-19,3810.60009765625,3446.5793,3708.433773459348,3577.506536729674
2024-01-23,3739.64990234375,3463.122,3710.6597345057926,3586.890867252896
2024-01-24,3767.85009765625,3474.9265,3712.885700433538,3593.906100216769
2024-01-25,3770.199951171875,3483.4414,3715.111668531106,3599.276534265553
2024-01-29,3866.64990234375,3490.1453,3717.337637593196,3603.7414687965984
2024-01-30,3735.75,3496.616,3719.563607084033,3608.0898035420164
