Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1297.1500244140625,1280.6978,1272.343959114554,1276.520879557277
2024-01-02,1278.0999755859375,1270.4668,1274.112426747184,1272.289613373592
2024-01-03,1244.199951171875,1253.1345,1274.8392987226782,1263.986899361339
2024-01-04,1247.5,1233.3804,1275.0440250618094,1254.2122125309047
2024-01-05,1248.300048828125,1214.9624,1275.7404751051797,1245.3514375525897
2024-01-08,1228.949951171875,1200.5255,1276.4645358732369,1238.4950179366183
2024-01-09,1235.6500244140625,1191.7701,1277.1070307064758,1234.438565353238
2024-01-10,1240.9000244140625,1189.569,1277.7328847643869,1233.6509423821935
2024-01-11,1249.4000244140625,1193.6423,1278.3697931226056,1236.0060465613028
2024-01-12,1308.050048828125,1202.9943,1278.997144613548,1240.995722306774
2024-01-15,1337.6500244140625,1216.2437,1279.612825025102,1247.928262512551
2024-01-16,1320.4000244140625,1231.8588,1280.2209504013356,1256.0398752006677
2024-01-17,1326.75,1248.2018,1280.822349880368,1264.512074940184
2024-01-18,1355.1500244140625,1263.6707,1281.4164643317822,1272.5435821658912
2024-01-19,1389.9000244140625,1276.8447,1282.0036455031984,1279.4241727515991
2024-01-23,1366.6500244140625,1286.7726,1282.584389918096,1284.6784949590478
2024-01-24,1407.949951171875,1293.3214,1283.1589965318844,1288.2401982659421
2024-01-25,1322.050048828125,1296.9045,1283.7277230850846,1290.3161115425423
2024-01-29,1314.3499755859375,1298.0902,1284.2908559023274,1291.1905279511639
2024-01-30,1317.8499755859375,1297.4674,1284.848668968517,1291.1580344842585
