Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1483.75,1396.2343,1468.5085620306722,1432.3714310153362
2024-01-02,1469.550048828125,1386.8046,1468.1539450804028,1427.4792725402012
2024-01-03,1437.75,1366.9944,1469.867666027517,1418.4310330137587
2024-01-04,1419.949951171875,1340.6945,1469.9420625116056,1405.318281255803
2024-01-05,1432.800048828125,1312.2528,1471.3186798474055,1391.7857399237027
2024-01-08,1447.9000244140625,1285.6254,1471.6607707826688,1378.6430853913344
2024-01-09,1460.4000244140625,1264.3179,1472.824725660767,1368.5713128303835
2024-01-10,1492.0999755859375,1250.8474,1473.3357630067212,1362.0915815033607
2024-01-11,1484.800048828125,1246.5757,1474.3655009350668,1360.4706004675336
2024-01-12,1540.800048828125,1251.5016,1474.98316493221,1363.242382466105
2024-01-15,1588.199951171875,1264.6868,1475.9281949099252,1370.3074974549627
2024-01-16,1555.449951171875,1284.5337,1476.6131538733853,1380.5734269366926
2024-01-17,1575.9000244140625,1308.8912,1477.5047223701192,1393.1979611850597
2024-01-18,1567.550048828125,1335.1155,1478.2321530087306,1406.6738265043655
2024-01-19,1567.949951171875,1360.4023,1479.089980517429,1419.7461402587146
2024-01-23,1523.6500244140625,1382.3752,1479.844216180084,1431.109708090042
2024-01-24,1576.4000244140625,1399.7003,1480.6807488377474,1440.1905244188738
2024-01-25,1550.25,1411.8695,1481.4519018767817,1446.6607009383908
2024-01-29,1574.550048828125,1419.0695,1482.2749947774314,1450.6722473887157
2024-01-30,1559.300048828125,1421.8987,1483.0568248307106,1452.4777624153553
