Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,2917.199951171875,2799.7937,2856.743004985372,2828.268352492686
2024-01-02,2932.39990234375,2718.1687,2856.025102050411,2787.0969010252056
2024-01-03,3003.0,2586.3887,2858.949981080835,2722.6693405404176
2024-01-04,2998.300048828125,2439.5388,2860.985488073537,2650.2621440367684
2024-01-05,3006.60009765625,2304.2668,2863.1902496687226,2583.7285248343615
2024-01-08,2963.5,2199.953,2865.368801774954,2532.660900887477
2024-01-09,3014.60009765625,2137.7595,2867.5504476187334,2502.6549738093668
2024-01-10,3098.199951171875,2122.4333,2869.73191893635,2496.082609468175
2024-01-11,3080.89990234375,2151.9565,2871.9133506771964,2511.934925338598
2024-01-12,3104.10009765625,2218.7178,2874.0948002501354,2546.406300125068
2024-01-15,3089.5,2311.321,2876.276245405607,2593.798622702803
2024-01-16,3056.5,2417.7742,2878.457691409757,2648.1159457048784
2024-01-17,2971.050048828125,2526.152,2880.639137281201,2703.3955686406007
2024-01-18,2918.89990234375,2626.7764,2882.820583168564,2754.798491584282
2024-01-19,2915.64990234375,2711.2407,2885.0020290549623,2798.121364527481
2024-01-23,2896.550048828125,2775.6763,2887.1834749411782,2831.429887470589
2024-01-24,2903.449951171875,2819.7048,2889.364920827481,2854.5348604137407
2024-01-25,2893.60009765625,2845.6763,2891.546366713763,2868.6113333568815
2024-01-29,3064.64990234375,2855.8005,2893.7278126000483,2874.7641563000243
2024-01-30,3091.10009765625,2854.0332,2895.909258486333,2874.9712292431664
