Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,2737.239990234375,2524.0813,2652.9099252918904,2588.495612645945
2024-01-02,2722.31494140625,2523.1455,2652.770078773139,2587.95778938657
2024-01-03,2663.52001953125,2515.1316,2655.0503215256667,2585.0909607628337
2024-01-04,2711.639892578125,2501.9849,2656.157957651124,2579.071428825562
2024-01-05,2666.39990234375,2486.1453,2657.3512102448085,2571.7482551224043
2024-01-08,2619.300048828125,2470.0479,2658.637643557506,2564.342771778753
2024-01-09,2592.60009765625,2455.8027,2659.889524909104,2557.846112454552
2024-01-10,2578.10009765625,2445.197,2661.141745466929,2553.1693727334646
2024-01-11,2557.199951171875,2439.384,2662.397321050219,2550.8906605251095
2024-01-12,2549.60009765625,2438.8955,2663.651926479285,2551.2737132396423
2024-01-15,2547.550048828125,2443.4475,2664.906467681812,2554.1769838409064
2024-01-16,2542.050048828125,2452.0396,2666.161123668813,2559.1003618344066
2024-01-17,2543.10009765625,2463.1907,2667.415754035301,2565.3032270176504
2024-01-18,2502.0,2475.9277,2668.670380091563,2572.2990400457816
2024-01-19,2514.14990234375,2489.0361,2669.925009908648,2579.480554954324
2024-01-23,2462.89990234375,2501.4595,2671.179639106534,2586.319569553267
2024-01-24,2513.949951171875,2512.4702,2672.4342681017374,2592.452234050869
2024-01-25,2482.14990234375,2521.8474,2673.6888972153247,2597.7681486076626
2024-01-29,2498.550048828125,2529.605,2674.9435263161104,2602.274263158055
2024-01-30,2492.050048828125,2536.2854,2676.198155408649,2606.2417777043247
