Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1097.699951171875,1108.1382,1102.5849753981258,1105.361587699063
2024-01-02,1093.25,1093.6488,1102.705386176809,1098.1770930884045
2024-01-03,1098.5999755859375,1070.2605,1103.1452779755043,1086.7028889877522
2024-01-04,1123.4000244140625,1044.8801,1103.5033677370054,1074.1917338685028
2024-01-05,1136.949951171875,1022.53766,1103.895780938569,1063.2167204692846
2024-01-08,1122.0,1006.4423,1104.276312565367,1055.3593062826835
2024-01-09,1116.550048828125,998.2963,1104.6612468977405,1051.4787734488702
2024-01-10,1107.0,998.1904,1105.0445901817857,1051.6174950908928
2024-01-11,1125.75,1005.1801,1105.4285136933606,1055.3043068466804
2024-01-12,1120.3499755859375,1017.4635,1105.8122263074988,1061.6378631537493
2024-01-15,1119.5,1032.8461,1106.1960156700768,1069.5210578350384
2024-01-16,1119.0999755859375,1049.3635,1106.5797771151672,1077.9716385575834
2024-01-17,1082.300048828125,1065.5446,1106.9635487169635,1086.2540743584818
2024-01-18,1097.5,1080.391,1107.347316623849,1093.8691583119246
2024-01-19,1116.550048828125,1093.1384,1107.731085874936,1100.434742937468
2024-01-23,1089.25,1103.248,1108.1148546370089,1105.6814273185046
2024-01-24,1059.1500244140625,1110.5599,1108.4986235769832,1109.5292617884916
2024-01-25,1042.25,1115.2659,1108.8823924522376,1112.074146226119
2024-01-29,1061.25,1117.83,1109.2661613510368,1113.5480806755183
2024-01-30,1054.0999755859375,1118.536,1109.6499302412706,1114.0929651206352
