Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,7299.0498046875,7237.5845,7325.601533191532,7281.593016595766
2024-01-02,7430.0498046875,7231.835,7328.748308173885,7280.291654086943
2024-01-03,7384.7998046875,7213.4624,7341.127117961185,7277.294758980593
2024-01-04,7705.5498046875,7186.6235,7343.232295330727,7264.927897665363
2024-01-05,7711.14990234375,7154.9663,7351.006266450856,7252.9862832254275
2024-01-08,7736.0,7122.286,7351.958921078766,7237.122460539384
2024-01-09,7725.4501953125,7091.5073,7357.2504036129085,7224.378851806454
2024-01-10,7680.5498046875,7065.328,7361.160007189997,7213.2440035949985
2024-01-11,7669.75,7045.308,7364.549842432164,7204.928921216082
2024-01-12,7661.0498046875,7032.3145,7368.78758186199,7200.551040930995
2024-01-15,7478.0,7028.7134,7372.187164077474,7200.450282038737
2024-01-16,7456.64990234375,7034.503,7376.264376973219,7205.38368848661
2024-01-17,7358.85009765625,7050.109,7379.917847181431,7215.013423590715
2024-01-18,7265.5498046875,7075.857,7383.7206688113565,7229.788834405678
2024-01-19,7319.10009765625,7109.413,7387.540487113261,7248.47674355663
2024-01-23,7070.7001953125,7146.873,7391.278264210158,7269.075632105079
2024-01-24,7055.2998046875,7184.557,7395.105301656724,7289.831150828362
2024-01-25,7085.5,7218.8047,7398.860775043438,7308.832737521719
2024-01-29,7191.64990234375,7246.6685,7402.659593524748,7324.664046762374
2024-01-30,6817.2001953125,7266.588,7406.441191625136,7336.514595812568
