Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,309.75,298.85953,311.7686166823646,305.3140733411823
2024-01-02,306.0,293.11783,312.1699785709793,302.64390428548967
2024-01-03,306.20001220703125,282.69205,312.5465711324359,297.6193105662179
2024-01-04,317.1000061035156,270.66507,312.8931357263363,291.7791028631682
2024-01-05,314.95001220703125,259.4453,313.214092666699,286.3296963333495
2024-01-08,316.45001220703125,250.76526,313.51280869980883,282.1390343499044
2024-01-09,319.75,245.68965,313.7922293041518,279.7409396520759
2024-01-10,313.3500061035156,244.58823,314.0549087599547,279.32156937997735
2024-01-11,312.8999938964844,247.12515,314.3030632763214,280.7141066381607
2024-01-12,312.6499938964844,252.60338,314.5386156754679,283.57099783773396
2024-01-15,317.29998779296875,260.05185,314.76323423514214,287.4075421175711
2024-01-16,311.5,268.47104,314.9783663852219,291.72470319261095
2024-01-17,309.29998779296875,276.92453,315.18526794373145,296.0548989718657
2024-01-18,299.29998779296875,284.72772,315.38502848256223,300.0563742412811
2024-01-19,308.45001220703125,291.31195,315.5785933352606,303.4452716676303
2024-01-23,302.6000061035156,296.38745,315.7667826914084,306.0771163457042
2024-01-24,308.8500061035156,299.91785,315.9503081632748,307.9340790816374
2024-01-25,314.75,302.09772,316.12978715936254,309.11375357968126
2024-01-29,324.54998779296875,303.168,316.3057553551731,309.73687767758656
2024-01-30,315.45001220703125,303.51648,316.4786775130831,309.99757875654154
