Date,Close,Predicted
2024-01-01,1432.0999755859375,1426.2346
2024-01-02,1437.6500244140625,1416.2983
2024-01-03,1422.699951171875,1402.6516
2024-01-04,1431.5999755859375,1388.1472
2024-01-05,1454.1500244140625,1375.3276
2024-01-08,1421.050048828125,1366.1926
2024-01-09,1449.3499755859375,1362.0662
2024-01-10,1451.449951171875,1363.4471
2024-01-11,1427.800048828125,1370.2043
2024-01-12,1435.300048828125,1381.6425
2024-01-15,1430.050048828125,1396.427
2024-01-16,1408.800048828125,1412.8805
2024-01-17,1421.1500244140625,1429.0007
2024-01-18,1404.9000244140625,1443.1744
2024-01-19,1440.5999755859375,1453.9293
2024-01-23,1375.5,1460.3633
2024-01-24,1410.550048828125,1462.2603
2024-01-25,1380.9000244140625,1459.9518
2024-01-29,1418.4000244140625,1454.3228
2024-01-30,1399.0,1446.587
