Date,Close,Predicted
2024-01-01,1551.3499755859375,1498.1509
2024-01-02,1534.4000244140625,1491.0304
2024-01-03,1490.0,1475.7004
2024-01-04,1512.699951171875,1455.8488
2024-01-05,1532.550048828125,1435.1354
2024-01-08,1522.800048828125,1416.594
2024-01-09,1529.300048828125,1402.6869
2024-01-10,1519.9000244140625,1394.9557
2024-01-11,1494.199951171875,1393.8837
2024-01-12,1612.75,1398.865
2024-01-15,1652.0999755859375,1408.7711
2024-01-16,1631.550048828125,1422.3522
2024-01-17,1640.199951171875,1438.1069
2024-01-18,1642.5999755859375,1454.5322
2024-01-19,1659.199951171875,1470.1832
2024-01-23,1642.1500244140625,1483.8671
2024-01-24,1675.4000244140625,1495.0746
2024-01-25,1669.0999755859375,1503.6179
2024-01-29,1656.5999755859375,1509.7495
2024-01-30,1651.449951171875,1513.7878
