Date,Close,Predicted
2024-01-01,1097.699951171875,1108.1382
2024-01-02,1093.25,1093.6488
2024-01-03,1098.5999755859375,1070.2605
2024-01-04,1123.4000244140625,1044.8801
2024-01-05,1136.949951171875,1022.53766
2024-01-08,1122.0,1006.4423
2024-01-09,1116.550048828125,998.2963
2024-01-10,1107.0,998.1904
2024-01-11,1125.75,1005.1801
2024-01-12,1120.3499755859375,1017.4635
2024-01-15,1119.5,1032.8461
2024-01-16,1119.0999755859375,1049.3635
2024-01-17,1082.300048828125,1065.5446
2024-01-18,1097.5,1080.391
2024-01-19,1116.550048828125,1093.1384
2024-01-23,1089.25,1103.248
2024-01-24,1059.1500244140625,1110.5599
2024-01-25,1042.25,1115.2659
2024-01-29,1061.25,1117.83
2024-01-30,1054.0999755859375,1118.536
