Date,Close,Predicted
2024-01-01,641.3499755859375,623.87335
2024-01-02,639.4500122070312,619.7868
2024-01-03,643.4500122070312,610.3165
2024-01-04,642.75,597.80145
2024-01-05,641.9500122070312,584.4784
2024-01-08,627.0,572.27094
2024-01-09,625.4000244140625,562.705
2024-01-10,621.75,556.8
2024-01-11,620.2000122070312,554.9591
2024-01-12,633.5999755859375,557.0628
2024-01-15,640.0999755859375,562.50323
2024-01-16,636.9000244140625,570.5224
2024-01-17,626.0,580.2966
2024-01-18,628.2999877929688,590.9298
2024-01-19,627.75,601.42957
2024-01-23,605.0999755859375,611.06683
2024-01-24,618.2999877929688,619.2652
2024-01-25,612.75,625.7183
2024-01-29,622.9500122070312,630.3964
2024-01-30,626.75,633.4489
