Date,Close,Predicted
2024-01-01,1703.300048828125,1667.8871
2024-01-02,1656.199951171875,1654.5985
2024-01-03,1655.25,1632.3672
2024-01-04,1641.699951171875,1607.3353
2024-01-05,1642.0,1584.4625
2024-01-08,1616.1500244140625,1567.3074
2024-01-09,1629.9000244140625,1557.8057
2024-01-10,1632.800048828125,1556.0714
2024-01-11,1628.6500244140625,1561.4124
2024-01-12,1624.449951171875,1572.5314
2024-01-15,1635.550048828125,1587.9111
2024-01-16,1620.3499755859375,1605.7555
2024-01-17,1597.699951171875,1624.1191
2024-01-18,1617.25,1641.5436
2024-01-19,1655.550048828125,1656.5483
2024-01-23,1595.199951171875,1668.3093
2024-01-24,1628.0999755859375,1676.5243
2024-01-25,1635.5,1681.4922
2024-01-29,1640.0,1683.8688
2024-01-30,1620.3499755859375,1684.4047
