Date,Close,Predicted
2024-01-01,139.85000610351562,134.64925
2024-01-02,139.60000610351562,133.78519
2024-01-03,135.35000610351562,132.20723
2024-01-04,134.25,130.29727
2024-01-05,133.64999389648438,128.39285
2024-01-08,132.0,126.76121
2024-01-09,133.64999389648438,125.59898
2024-01-10,134.10000610351562,125.02615
2024-01-11,134.89999389648438,125.07782
2024-01-12,135.3000030517578,125.717545
2024-01-15,134.89999389648438,126.8302
2024-01-16,137.25,128.29137
2024-01-17,131.64999389648438,129.94987
2024-01-18,131.0,131.65268
2024-01-19,134.25,133.21466
2024-01-23,130.10000610351562,134.51262
2024-01-24,135.14999389648438,135.48499
2024-01-25,133.75,136.1304
2024-01-29,135.0,136.48663
2024-01-30,134.6999969482422,136.61433
